asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_00001	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00002	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00003	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus	NA
ASV_00004	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00005	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00006	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	metallidurans
ASV_00007	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00008	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	NA
ASV_00009	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00010	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00011	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00012	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00013	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Filomicrobium	NA
ASV_00014	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00015	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00016	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00017	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	NA
ASV_00018	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00019	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Filomicrobium	NA
ASV_00020	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
ASV_00021	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00022	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_00023	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Parasedimentitalea	NA
ASV_00024	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00025	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00026	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	NA
ASV_00027	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00028	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00029	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00030	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00031	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00032	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00033	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00034	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00035	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1 clade	NA	NA
ASV_00036	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00037	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	NA
ASV_00038	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Litoreibacter	NA
ASV_00039	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	NA
ASV_00040	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	NA	NA
ASV_00041	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Thermopetrobacteraceae	Thermopetrobacter	NA
ASV_00042	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV_00043	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	NA	NA
ASV_00044	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Caloranaerobacteraceae	Caloranaerobacter	NA
ASV_00045	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingorhabdus	NA
ASV_00046	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter	NA
ASV_00047	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV_00048	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	acnes
ASV_00049	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00050	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	NA
ASV_00051	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00052	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Jannaschia	NA
ASV_00053	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00054	Bacteria	Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	Acaryochloridaceae	Acaryochloris MBIC11017	NA
ASV_00055	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00056	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1 clade	NA	NA
ASV_00057	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00058	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00059	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00060	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00061	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV_00062	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	NA
ASV_00063	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Hoeflea	NA
ASV_00064	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00065	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00066	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_00067	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00068	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_00069	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00070	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	NA
ASV_00071	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Sulfitobacter	NA
ASV_00072	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00073	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_00074	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00075	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Roseovarius	NA
ASV_00076	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Synechococcales Incertae Sedis	Schizothrix LEGE 07164	NA
ASV_00077	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
ASV_00078	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Roseobacter	litoralis
ASV_00079	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV_00080	Bacteria	Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	NA	NA	NA
ASV_00081	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00082	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	A4b	NA	NA
ASV_00083	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00084	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00085	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	NA
ASV_00086	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00087	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	A4b	NA	NA
ASV_00088	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_00089	Bacteria	Pseudomonadota	Gammaproteobacteria	JTB23	NA	NA	NA
ASV_00090	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00091	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_00092	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00093	Bacteria	Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	Acaryochloridaceae	Acaryochloris MBIC11017	NA
ASV_00094	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00095	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_00096	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus CC9902	NA
ASV_00097	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00098	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	NA
ASV_00099	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter	NA
ASV_00100	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00101	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA
ASV_00102	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00103	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	NA
ASV_00104	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00105	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00106	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	NA
ASV_00107	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA
ASV_00108	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00109	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00110	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
ASV_00111	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV_00112	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_00113	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00114	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00115	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Lentilitoribacter	donghaensis
ASV_00116	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00117	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00118	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	NA	NA
ASV_00119	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00120	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00121	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00122	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Aurantiacibacter	NA
ASV_00123	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus CC9902	NA
ASV_00124	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00125	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus CC9902	NA
ASV_00126	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00127	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00128	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00129	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pseudoruegeria	haliotis
ASV_00130	Bacteria	Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	Acaryochloridaceae	Acaryochloris MBIC11017	NA
ASV_00131	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	NA
ASV_00132	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	NA	NA
ASV_00133	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus CC9902	NA
ASV_00134	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ascidiimonas	NA
ASV_00135	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_00136	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	SAR116 clade	NA	NA
ASV_00137	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
ASV_00138	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA10353 marine group	NA	NA	NA
ASV_00139	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00140	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00141	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
ASV_00142	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
ASV_00143	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00144	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00145	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_00146	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA10353 marine group	NA	NA	NA
ASV_00147	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Ruegeria	conchae
ASV_00148	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA
ASV_00149	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	nonamiensis
ASV_00150	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00151	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	NA	NA
ASV_00152	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA
ASV_00153	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	NA	NA
ASV_00154	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00155	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	NA
ASV_00156	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_00157	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00158	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00159	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00160	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00161	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	NA
ASV_00162	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	NA
ASV_00163	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA
ASV_00164	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00165	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_00166	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	NA
ASV_00167	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis	CSP1-2	NA
ASV_00168	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	NA
ASV_00169	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	Methyloceanibacter	NA
ASV_00170	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV_00171	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV_00172	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	NA
ASV_00173	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA10353 marine group	NA	NA	NA
ASV_00174	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA
ASV_00175	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00176	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Silicimonas	NA
ASV_00177	Bacteria	Pseudomonadota	Gammaproteobacteria	D90	NA	NA	NA
ASV_00178	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA10353 marine group	NA	NA	NA
ASV_00179	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Pseudovibrio	ascidiaceicola
ASV_00180	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00181	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
ASV_00182	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	NA	NA
ASV_00183	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00184	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_00185	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	NA
ASV_00186	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_00187	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
ASV_00188	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	NA
ASV_00189	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	NA
ASV_00190	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00191	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00192	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
ASV_00193	Bacteria	Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	NA	NA
ASV_00194	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00195	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00196	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	NA
ASV_00197	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium	oligocarboniphilum
ASV_00198	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_00199	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00200	Bacteria	Pseudomonadota	Gammaproteobacteria	D90	NA	NA	NA
ASV_00201	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	NA
ASV_00202	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	NA
ASV_00203	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	NA	NA
ASV_00204	Bacteria	Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	Acaryochloridaceae	Acaryochloris MBIC11017	NA
ASV_00205	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00206	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_00207	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Lentilitoribacter	NA
ASV_00208	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00209	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA
ASV_00210	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Spongiibacterium	NA
ASV_00211	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	NA
ASV_00212	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00213	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Hoeflea	NA
ASV_00214	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00215	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingorhabdus	NA
ASV_00216	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Filomicrobium	NA
ASV_00217	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	NA
ASV_00218	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00219	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	NA	NA
ASV_00220	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00221	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	MA-28-I98C	NA	NA
ASV_00222	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	NA
ASV_00223	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00224	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
ASV_00225	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Afipia	NA
ASV_00226	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_00227	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	NA
ASV_00228	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis	CSP1-2	NA
ASV_00229	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_00230	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	NA
ASV_00231	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
ASV_00232	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_00233	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	NA
ASV_00234	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_00235	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Caloranaerobacteraceae	Caloranaerobacter	NA
ASV_00236	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_00237	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA	NA
ASV_00238	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	NA
