asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_09100	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA
ASV_09101	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_09102	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_09103	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_09104	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09105	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	NA	NA
ASV_09106	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Incertae Sedis	CSP1-2	NA
ASV_09107	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	NA
ASV_09108	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09109	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	NA
ASV_09110	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_09111	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA
ASV_09112	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
ASV_09113	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_09114	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	NA	NA	NA
ASV_09115	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_09116	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_09117	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA
ASV_09118	Bacteria	Thermodesulfobacteriota	NA	NA	NA	NA	NA
ASV_09119	Bacteria	Chloroflexota	Anaerolineae	Ardenticatenales	NA	NA	NA
ASV_09120	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA
ASV_09121	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_09122	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_09123	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA
ASV_09124	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09125	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Anderseniella	NA
ASV_09126	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_09127	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantaceae	Aminicenans	NA
ASV_09128	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV_09129	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV_09130	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV_09131	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	NA	NA
ASV_09132	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09133	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	NA	NA	NA
ASV_09134	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_09135	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_09136	Bacteria	Cyanobacteriota	Sericytochromatia	NA	NA	NA	NA
ASV_09137	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV_09138	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09139	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	NA
ASV_09140	Bacteria	Myxococcota	Polyangiia	Blfdi19	NA	NA	NA
ASV_09141	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Vallitalea	NA
ASV_09142	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_09143	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	NA	NA
ASV_09144	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	NA	NA
ASV_09145	Bacteria	Pseudomonadota	Gammaproteobacteria	HOC36	NA	NA	NA
ASV_09146	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_09147	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NA	NA	NA
ASV_09148	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup 9	NA	NA	NA
ASV_09149	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	NA
ASV_09150	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_09151	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	NA
ASV_09152	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09153	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09154	Bacteria	NA	NA	NA	NA	NA	NA
ASV_09155	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
ASV_09156	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_09157	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	NA	NA	NA
ASV_09158	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV_09159	Bacteria	Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1 clade	NA	NA
ASV_09160	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Lentimonas	NA
ASV_09161	Bacteria	Pseudomonadota	Gammaproteobacteria	EC3	NA	NA	NA
ASV_09162	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	NA
ASV_09163	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV_09164	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_09165	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	NA
ASV_09166	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA
ASV_09167	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09168	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_09169	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09170	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
ASV_09171	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09172	Bacteria	Elusimicrobiota	Lineage IIb	NA	NA	NA	NA
ASV_09173	Bacteria	NA	NA	NA	NA	NA	NA
ASV_09174	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
ASV_09175	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV_09176	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	NA
ASV_09177	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	NA
ASV_09178	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	NA
ASV_09179	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SM23-30	NA	NA
ASV_09180	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	NA	NA
ASV_09181	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	NA	NA	NA
