asv	plaqueX.llerch96.cb17A4	SG.CG15A2	SG.CG15A3	SG.CG15S1	SG.CG15S2	vmCB14A0	vmCB14S0	vmCB17S0	vmCB17S3	vmCB26A0	vmCB26S0	vmCB26S1	vmCB26S2	vmCB26S4	vmCB30A11	vmCB30S0	vmCB30S1	vmCC15S0	vmCC27S0	vmCC27S1	vmCG15A3	vmCG25S0	vmCG25S5	vmCP12S2	vmCP17S6	vmCP26A3	vmCP26S0	XlerchA10	XlerchA11	XlerchA12	XlerchB10	XlerchB11	XlerchB12	XlerchC10	XlerchC11	XlerchC12	XlerchD11	XlerchD12	XlerchE10	XlerchE11	XlerchE12	XlerchF10	XlerchF11	XlerchF12	XlerchG10	XlerchG11	XlerchG12	XlerchG9	XlerchH10	XlerchH11	XlerchH12	XlerchH9
ASV_00001	0	3	0	4228	130	0	0	153	65	38	1413	2534	0	666	0	31	0	213	2537	1653	0	137	0	0	0	0	7180	130	130	0	1309	0	0	222	0	0	0	0	0	0	0	7496	0	323	0	0	0	28	0	0	0	0
ASV_00002	256	471	1888	1949	1329	700	491	153	192	280	1738	3352	316	1467	482	208	0	842	40	33	622	134	96	104	0	10	134	0	0	3427	33	0	33	1791	27	35	0	89	420	0	0	919	900	1278	714	212	0	1486	12	0	195	0
ASV_00003	0	0	0	0	0	0	0	0	0	20	0	0	7384	0	7739	0	0	0	5	0	7803	0	0	0	0	96	15	0	264	89	0	0	0	0	3610	0	0	0	0	0	0	0	0	0	6	0	0	161	338	0	0	100
ASV_00004	0	9378	201	440	55	3234	118	0	0	604	44	114	12	56	23	0	0	18	0	0	49	39	0	0	0	5	0	0	0	222	0	0	0	5533	0	0	0	0	0	0	0	0	4485	0	0	0	0	0	0	997	0	0
ASV_00005	724	734	733	1022	1869	231	189	130	37	71	721	1493	89	220	113	542	1292	1002	371	202	161	192	461	335	0	250	962	482	0	0	1550	57	0	680	0	0	285	0	695	0	0	1564	364	1072	0	497	0	121	296	0	1932	0
ASV_00006	24	0	0	0	0	42	10	2128	714	52	223	262	72	431	79	561	960	77	229	138	71	111	830	27	282	72	61	5	422	1035	113	377	76	10	124	75	496	28	2104	1861	46	7	13	64	0	4402	26	131	8	68	30	744
ASV_00007	139	496	246	98	385	169	57	100	277	1214	344	584	526	166	587	1177	106	270	170	126	585	143	118	202	36	119	157	312	429	1783	78	58	74	108	126	88	97	303	2206	889	59	101	227	219	71	0	49	1172	297	1918	119	0
ASV_00008	0	18	11	52	9	11	0	5489	1519	54	228	365	22	92	22	410	914	24	247	402	29	324	601	78	196	34	415	4	413	0	23	1484	23	0	100	11	140	12	1048	571	26	10	0	0	0	1394	18	53	11	50	18	173
ASV_00009	325	164	216	1505	1474	60	92	140	116	32	348	820	0	257	0	481	132	196	179	209	0	449	63	674	15	50	456	79	0	255	331	0	36	667	137	0	711	0	406	170	0	2273	52	163	0	0	7	162	86	0	437	0
ASV_00010	0	81	0	848	749	3	10	0	6	3	183	174	0	103	0	0	0	133	1984	1761	0	876	151	0	0	3	3750	53	50	0	1554	73	0	35	0	0	0	0	0	0	0	496	0	110	0	0	0	0	0	0	0	0
ASV_00011	148	0	176	58	241	74	58	0	0	0	0	135	0	0	30	84	375	122	0	0	32	0	0	134	784	60	84	0	0	0	252	415	934	104	0	435	65	896	0	0	426	0	71	304	664	0	1655	0	0	51	3484	0
ASV_00012	243	530	497	496	283	506	477	250	0	25	0	122	35	135	71	352	501	65	0	0	98	50	0	227	0	91	200	61	32	135	362	54	0	602	52	0	0	0	444	0	0	1247	639	110	0	0	0	9	13	0	552	2544
ASV_00013	117	23	120	8	33	72	65	380	166	426	645	945	384	482	420	528	173	155	133	88	414	148	26	216	364	103	181	163	48	440	60	0	314	36	510	135	148	123	0	0	268	34	101	72	419	44	104	216	177	567	206	0
ASV_00014	99	51	1590	1631	290	0	0	125	114	0	0	237	188	229	305	143	230	0	0	0	460	0	71	943	0	41	310	0	0	282	101	61	0	591	83	0	631	0	43	73	5	517	0	0	0	0	0	56	163	0	962	0
ASV_00015	145	78	29	214	329	91	117	149	308	44	356	882	125	269	140	377	0	71	205	158	162	40	79	57	177	51	166	53	0	354	731	117	96	167	229	206	1722	96	137	119	22	58	134	115	69	0	150	550	129	0	459	0
ASV_00016	189	100	1445	1671	540	0	0	6	168	0	114	258	123	80	236	585	908	0	0	0	385	1	211	466	0	0	40	0	0	0	46	68	0	718	0	0	1424	0	0	0	0	410	0	0	0	0	0	0	0	0	22	0
ASV_00017	0	0	0	0	0	13	21	567	327	25	0	42	45	101	56	158	235	14	77	66	47	128	303	23	226	33	25	4	274	219	18	175	22	4	50	19	146	13	1101	999	28	4	5	13	0	3660	19	69	0	32	26	206
ASV_00018	0	52	40	145	254	74	89	0	19	184	176	225	0	0	0	36	0	120	17	38	0	79	0	83	380	105	188	74	59	81	27	1886	374	144	0	307	0	622	0	0	292	50	95	144	605	0	836	0	0	253	313	0
ASV_00019	63	193	30	191	318	191	78	579	95	0	517	974	55	206	67	179	8	49	31	43	78	176	79	41	0	0	31	82	0	85	74	0	38	104	53	107	441	32	30	838	0	726	251	45	101	0	11	0	12	0	33	0
ASV_00020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4065	3234	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00021	35	98	92	1701	596	13	24	0	127	0	112	123	0	830	13	261	350	16	18	0	21	178	246	281	0	0	38	0	0	0	15	141	0	260	40	0	290	30	118	64	18	261	20	0	12	257	26	0	20	0	492	0
ASV_00022	11	0	0	0	67	44	124	483	0	60	296	351	0	26	12	93	197	335	108	86	11	254	353	96	134	55	102	139	261	124	84	0	103	19	81	49	0	44	0	23	0	0	137	190	50	178	63	845	170	130	20	1003
ASV_00023	1613	1130	401	196	45	30	0	0	0	0	0	0	61	0	92	0	0	50	0	0	130	0	0	0	0	112	0	0	0	0	27	0	0	1057	0	0	0	0	307	656	0	0	22	0	0	0	0	578	142	0	0	0
ASV_00024	0	260	1454	68	431	322	329	520	55	0	0	0	96	0	181	0	71	48	0	0	233	108	141	0	0	45	97	0	0	0	93	0	0	127	37	0	0	0	0	0	0	409	242	36	68	0	0	0	0	9	1168	0
ASV_00025	173	474	29	381	511	52	0	0	40	0	83	223	0	63	0	0	46	193	118	137	0	22	82	0	0	91	422	46	0	0	583	163	0	265	0	0	0	0	401	740	0	183	47	250	0	402	0	73	0	0	288	0
ASV_00026	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	37	181	142	0	458	3079	0	0	1767	58	0	58	0	0	0	0	0	252	0	0	0	0	0	0	0	0	95	0	0	0	13	86	0	0	114
ASV_00027	32	47	69	1329	48	284	93	883	0	27	334	515	80	0	99	58	0	78	0	0	128	0	56	0	0	100	37	9	0	137	0	153	0	599	21	0	0	0	42	0	26	0	296	49	118	186	0	163	142	17	33	0
ASV_00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4434	0	0	0	0	0	0	81	107	0	2	279	0	371	0	0	349	0	0	0	0	0	655	0	0	0	0	0
ASV_00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	0	0	930	11	0	0	7	0	1557	0	0	643	0	0	0	0	0	2268	0	0	0	0	0
ASV_00030	0	5	32	17	17	1	12	0	0	91	0	0	2	0	4	0	0	0	9	0	5	0	0	0	233	0	0	0	0	0	4	2384	354	29	0	18	0	1002	0	0	522	14	5	2	241	0	876	0	0	167	55	0
ASV_00031	689	0	856	0	0	0	0	0	0	199	0	0	31	0	78	25	0	31	114	77	114	0	0	88	0	39	234	0	0	0	48	568	263	0	0	29	0	150	0	0	238	0	0	25	80	0	1363	0	0	271	242	0
ASV_00032	162	67	45	96	910	165	111	0	0	0	589	913	26	77	26	194	401	125	70	0	33	20	0	81	37	176	342	80	0	0	124	0	54	110	0	0	0	0	0	0	0	0	185	132	0	0	0	44	83	0	289	0
ASV_00033	0	46	106	779	205	0	0	106	72	0	114	117	0	153	0	205	142	0	0	0	0	58	76	782	0	0	114	0	0	0	173	58	0	354	0	0	519	0	0	0	0	743	0	0	0	618	0	0	0	11	88	0
ASV_00034	77	117	236	489	672	122	186	143	0	17	0	0	13	55	24	0	267	146	148	58	46	0	0	58	0	133	502	22	0	0	225	62	0	89	0	0	179	0	0	0	0	228	81	109	24	0	0	0	0	2	803	0
ASV_00035	346	98	283	507	165	0	0	0	0	0	277	494	22	111	35	11	0	8	0	0	64	10	0	363	0	0	107	24	0	0	299	0	0	170	0	0	907	0	0	0	0	503	0	24	0	0	0	0	22	0	437	0
ASV_00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	0	0	0	0	0	0	237	151	0	0	459	0	754	0	0	725	0	0	0	0	0	964	0	0	0	0	0
ASV_00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00038	0	25	72	0	0	11	0	0	0	0	0	25	32	0	23	0	0	7	0	0	45	0	0	0	0	2393	317	0	235	0	82	0	0	0	122	0	0	0	19	0	0	0	23	9	15	0	0	1399	123	0	0	0
ASV_00039	0	0	4	4	3	0	0	322	104	0	54	0	0	0	0	58	272	10	0	0	0	141	0	3	10	6	0	0	965	0	0	458	0	0	112	8	0	0	0	0	8	0	0	0	0	228	56	0	0	42	7	2054
ASV_00040	0	0	0	0	0	0	0	0	0	1410	33	0	90	0	102	0	0	3	0	0	86	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	544	0	6	0	3	1899	0	0
ASV_00041	0	0	0	0	0	187	356	0	0	41	53	0	0	0	0	0	0	23	35	29	0	0	27	0	0	0	0	3371	0	89	7	0	0	0	0	0	0	0	0	0	0	0	193	0	0	71	0	18	0	0	0	0
ASV_00042	0	0	0	0	0	66	28	0	347	49	170	295	87	272	109	447	996	72	160	163	95	229	0	79	682	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00043	0	0	0	0	0	0	20	0	0	16	0	0	0	0	0	0	0	180	629	344	0	0	0	0	0	0	0	2968	0	31	5	0	0	0	0	0	0	0	34	0	0	0	2	11	0	0	0	142	0	0	0	0
ASV_00044	0	0	13	13	0	0	0	0	129	16	0	0	24	0	0	76	180	0	19	22	18	0	60	12	0	0	0	0	406	0	5	690	0	0	151	0	167	0	0	1080	0	9	0	0	0	0	0	0	0	49	8	1146
ASV_00045	0	35	35	2099	246	68	30	0	72	0	43	52	0	64	0	26	0	28	0	0	0	0	0	0	0	23	72	29	0	0	149	59	0	640	0	0	0	0	56	0	0	239	65	14	0	0	0	29	0	0	18	0
ASV_00046	0	0	2975	0	0	0	0	0	0	0	0	0	196	0	334	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00047	0	0	0	13	12	7	0	137	460	10	58	0	0	26	0	76	245	6	0	0	0	56	0	18	9	10	258	0	377	328	0	93	48	0	56	0	92	2	274	584	8	0	0	0	0	255	10	16	0	17	0	283
ASV_00048	9	0	0	0	0	0	0	420	461	0	77	0	0	43	0	108	318	0	43	0	0	91	240	0	0	0	167	0	0	336	0	377	0	0	0	0	26	0	263	140	0	0	0	23	0	587	0	0	0	0	0	0
ASV_00049	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	44	27	2	31	0	44	70	54	28	8	0	0	32	0	186	0	0	972	5	310	0	0	25	0	0	0	14	0	63	283	84	0	27	1380
ASV_00050	85	114	4	197	40	650	102	0	0	0	47	25	0	0	14	0	0	0	16	0	16	21	0	40	0	59	63	0	0	0	109	0	15	472	41	0	0	0	422	0	28	12	697	15	0	0	18	0	0	0	73	0
ASV_00051	0	0	0	0	20	0	20	0	30	12	418	824	0	215	0	0	0	0	16	0	0	0	0	0	0	109	44	0	0	283	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	19	0	0	0	1175
ASV_00052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	3094	23	0	0	16	0	0	0	0	0	7	0	0	0	0	111	0	0	0	0	0
ASV_00053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3274	0	0	0
ASV_00054	0	0	0	0	0	0	0	0	0	20	0	0	99	0	129	0	0	0	0	0	112	370	0	0	197	0	0	0	0	0	26	0	17	0	11	225	0	490	0	0	793	0	10	0	543	101	0	0	10	26	0	0
ASV_00055	194	0	38	0	18	20	58	0	0	380	41	85	82	0	114	13	37	50	0	30	106	65	0	0	0	265	5	13	0	0	0	0	29	0	214	52	0	0	0	247	0	0	63	36	70	0	0	20	17	778	18	0
ASV_00056	77	9	24	0	0	13	69	21	101	0	70	167	43	246	39	298	122	94	99	75	24	68	112	44	0	19	21	38	31	0	17	47	77	6	115	0	210	0	0	79	207	0	0	47	148	61	17	50	24	24	76	0
ASV_00057	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00058	0	52	632	282	328	0	0	0	0	0	233	208	35	0	66	0	0	24	39	42	110	36	0	0	0	52	83	0	0	0	128	0	0	132	0	0	141	0	0	0	0	34	0	40	0	0	0	53	0	0	191	0
ASV_00059	0	0	17	129	0	24	19	0	0	0	35	18	0	18	0	0	0	30	41	29	0	0	0	0	0	92	300	28	0	283	323	0	0	27	10	0	0	0	1347	0	0	0	32	16	0	0	0	0	0	0	30	0
ASV_00060	1007	0	104	48	0	89	51	0	40	0	0	0	51	0	63	0	0	89	53	36	58	0	41	0	0	43	55	0	0	0	53	0	89	43	31	0	0	0	0	0	0	0	75	0	0	0	49	577	76	0	0	0
ASV_00061	0	0	0	0	0	0	0	0	459	43	93	0	43	224	57	360	546	0	149	164	54	170	0	0	324	0	41	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00062	0	16	860	41	40	52	22	0	0	0	17	13	41	31	104	0	0	0	10	1	188	0	0	21	0	37	81	43	0	0	180	0	141	0	8	0	0	59	0	0	55	24	75	0	0	0	378	30	39	0	100	0
ASV_00063	0	0	0	0	0	0	0	0	562	97	30	0	96	68	75	97	115	79	113	0	80	167	67	150	77	0	0	0	29	0	0	0	127	0	60	0	94	11	0	0	54	0	0	73	0	19	66	59	66	48	40	0
ASV_00064	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	454	9	0	0	298	0	423	0	0	128	0	0	0	0	0	1144	0	0	0	0	0
ASV_00065	17	22	6	7	20	17	33	0	43	18	62	22	77	15	103	11	0	82	0	0	111	7	0	14	0	0	105	18	24	67	122	0	32	5	5	37	0	30	305	690	18	0	7	53	72	0	46	86	44	83	0	0
ASV_00066	30	30	35	19	142	55	49	0	0	73	45	65	124	0	125	0	35	82	36	27	135	106	45	73	0	115	0	19	41	0	9	0	38	0	42	47	27	0	43	0	34	0	11	34	19	38	26	106	168	122	44	96
ASV_00067	53	0	0	0	68	251	153	0	0	24	0	62	0	0	0	0	0	0	0	0	0	82	0	45	0	49	34	0	0	0	0	73	0	0	0	0	0	0	0	0	0	42	415	0	932	0	0	0	65	37	0	0
ASV_00068	0	0	0	0	0	0	0	0	0	467	0	0	21	0	20	0	0	20	0	0	20	0	0	21	0	42	0	11	0	0	11	81	18	0	330	67	0	0	0	0	47	0	0	0	32	0	198	0	22	913	0	0
ASV_00069	0	59	0	0	1610	0	0	0	0	0	0	0	0	0	0	0	0	0	365	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
ASV_00070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	931	0	17	260	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	398	500	0	0	45
ASV_00071	0	34	30	5	10	0	0	0	0	23	0	0	0	0	21	0	0	0	39	16	19	14	0	12	0	629	34	0	32	381	0	434	15	7	56	0	0	12	119	0	0	18	0	0	0	0	222	79	35	0	12	0
ASV_00072	16	25	17	622	267	25	0	84	0	0	14	73	0	146	0	67	0	15	65	21	0	0	0	107	0	23	138	34	0	0	63	0	0	107	0	0	0	0	0	0	0	268	0	39	0	0	21	0	0	0	49	0
ASV_00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	2193	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00074	0	0	0	0	0	0	0	0	0	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	475	0	0	0	0	1055	0	0
ASV_00075	53	28	68	107	68	33	13	0	63	9	13	36	0	17	15	10	79	30	36	55	24	0	81	38	0	76	244	0	0	0	168	0	10	31	0	143	0	24	40	0	0	0	30	27	0	0	32	16	110	0	176	187
ASV_00076	0	0	15	57	79	0	0	120	0	7	99	189	17	0	18	67	0	9	0	0	0	260	15	43	79	0	120	0	0	0	209	0	17	22	53	93	242	48	0	0	70	41	14	12	96	0	31	0	0	0	40	0
ASV_00077	0	92	0	460	552	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	0	0	384	0	0	187	0	0	0	0	452	19	0	0	0	0	0	0	0	0	0
ASV_00078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	107	0	0	0	0	0	960	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	0	0
ASV_00079	4	0	0	0	12	9	0	471	0	0	0	0	0	0	0	38	118	0	58	51	0	0	343	0	53	0	0	0	0	0	0	35	10	0	0	0	23	0	76	0	10	0	0	6	0	502	0	0	0	0	0	291
ASV_00080	0	0	0	0	0	0	0	0	934	0	0	14	0	0	0	11	0	42	555	408	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0
ASV_00081	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	428	0	0	42	0	29	0	0	0	0	0	0	17	0	562	0	0	0	0	0
ASV_00082	5	0	0	0	0	0	1570	0	0	0	0	0	10	33	0	0	0	0	0	0	0	263	112	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	45	0	0	0	0	0	0	0	68	0	0	873	0	470	0	0	264	0	0	0	157	0	105	0	0	0	0	0
ASV_00084	0	95	0	17	82	30	0	150	70	0	25	52	0	0	0	0	0	66	30	46	0	0	0	38	0	100	162	60	108	0	157	206	0	0	19	114	0	82	0	0	40	96	0	47	0	0	0	62	0	0	46	0
ASV_00085	25	350	292	315	15	107	57	0	0	0	0	0	25	0	50	0	0	0	20	0	77	0	0	91	0	8	16	0	0	0	26	0	0	367	0	0	0	0	0	0	0	18	107	0	0	0	0	7	0	0	12	0
ASV_00086	0	0	0	28	0	25	396	0	117	0	106	144	0	139	0	0	0	32	388	238	0	38	47	0	11	0	0	16	0	0	0	0	0	51	0	0	0	0	56	0	0	32	15	9	0	0	73	0	23	0	0	0
ASV_00087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	3	29	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00088	0	0	0	7	0	0	930	0	0	0	0	8	0	234	0	69	82	47	0	0	0	288	29	0	0	0	0	129	0	0	16	0	0	0	0	0	7	10	0	0	0	0	0	65	0	0	0	19	0	7	0	0
ASV_00089	0	0	0	0	0	0	1926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00090	0	22	0	20	287	137	153	134	0	0	143	179	0	0	0	0	0	19	0	21	0	37	115	0	0	0	0	59	0	296	30	0	0	0	0	0	0	0	0	0	0	0	163	71	0	0	0	0	0	0	0	0
ASV_00091	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	73	132	100	0	0	0	165	117	0	60	0	0	0	128	147	0	0	68	0	0	0	0	0	0	0	0	0	0	64	0	776	0	0	0	0	0	0
ASV_00092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	834	72	0	138	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	216	446	0	0	0
ASV_00093	6	0	0	0	116	9	0	0	0	0	0	0	184	0	197	0	74	0	29	0	255	0	0	0	0	28	331	0	0	0	158	0	0	0	330	0	0	0	0	0	10	120	9	0	0	0	0	0	0	12	0	0
ASV_00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	92	0	1570	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV_00095	0	0	0	0	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	0	0	0	0	0	0	0	0	0
ASV_00096	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	197	0	55	0	53	303	0	0	0	0	0	0	41	439	0	0	74	0	37	0	0	105	0	0	0	0	161	0	0	35	0	58	0
ASV_00097	12	72	19	9	8	18	6	0	0	64	31	25	0	35	0	0	0	21	39	53	18	0	0	42	39	173	0	74	0	21	14	0	0	23	52	22	0	21	37	74	28	25	45	34	0	0	26	485	73	51	39	0
ASV_00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	25	0	0	0	0	291	21	0	0	0	0	64	0	0	1251	0	0	0	81	0	31	0	0	0	9	0
ASV_00099	14	297	256	136	23	139	50	0	42	0	0	40	0	0	0	22	0	11	0	0	0	0	72	19	0	0	14	0	0	0	156	0	0	232	0	0	0	0	55	0	0	27	190	0	0	0	0	0	0	0	17	0
ASV_00100	275	0	66	12	0	0	13	0	33	0	16	42	24	0	31	0	0	0	11	16	45	0	0	0	0	251	39	0	0	0	0	0	0	19	176	0	0	0	0	0	0	0	0	56	0	0	0	423	260	0	0	0
ASV_00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1737	0	0	0	20	0	0	0	0	0	21	0	0
ASV_00102	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	44	0	0	0	46	0	13	0	0	1028	0	0
ASV_00103	11	9	0	0	0	8	15	0	168	129	21	89	106	0	100	170	0	36	0	0	119	0	0	72	38	27	20	26	62	0	0	0	47	0	116	0	23	0	0	0	0	12	30	0	0	0	0	63	33	141	70	11
ASV_00104	0	0	0	0	0	31	11	0	0	0	42	159	0	25	0	0	0	39	86	92	0	0	0	0	0	98	852	0	0	15	151	0	0	0	0	0	0	0	0	0	0	0	28	66	0	0	0	15	0	0	0	47
ASV_00105	0	39	0	49	1349	0	9	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	163	0	0	91	0	0	0	0	0	0	0	0	0	0
ASV_00106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	243	0	0	0	0	0	0	0	187	0	0	354	0	551	0	0	42	0	0	0	187	0	135	0	0	0	0	0
ASV_00107	0	33	0	514	631	0	6	0	0	0	56	134	0	0	0	0	0	0	4	7	0	0	13	0	0	0	32	0	0	0	0	0	0	168	0	0	0	0	34	0	0	62	0	13	0	0	0	0	0	0	0	0
ASV_00108	0	0	0	60	0	0	0	4	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882	0	0
ASV_00109	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	312	352	0	0	121	0	154	0	0	88	0	0	0	42	0	284	120	0	55	4	0
ASV_00110	0	0	0	0	0	0	1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_00111	0	6	0	0	0	0	0	0	222	0	18	0	0	0	0	40	76	0	19	27	0	0	0	0	0	7	0	0	0	616	0	173	18	0	27	0	157	0	35	194	0	0	0	0	0	0	0	9	0	0	0	0
ASV_00112	79	28	143	313	73	0	25	235	0	11	17	0	12	12	28	0	0	0	43	0	50	97	0	24	0	0	72	0	25	0	0	0	0	119	34	0	0	0	0	0	0	95	39	0	0	0	0	0	0	0	36	0
ASV_00113	0	126	0	0	72	54	0	0	0	0	58	70	0	89	0	53	0	45	0	0	0	0	0	0	0	49	101	16	0	0	315	0	0	0	0	117	0	123	0	0	0	42	84	105	0	0	0	0	25	0	60	0
ASV_00114	0	0	51	0	0	0	0	0	0	36	12	46	120	0	115	0	0	0	99	75	97	144	0	28	0	14	21	33	55	0	15	0	0	0	72	0	101	0	0	0	43	0	0	0	164	0	0	51	45	50	116	0
ASV_00115	60	67	17	0	0	32	0	0	0	107	0	0	0	0	0	0	0	7	0	0	0	0	0	32	0	297	26	0	0	146	0	0	0	43	0	0	0	0	0	0	0	4	29	0	0	0	7	599	0	125	0	0
ASV_00116	0	20	0	454	83	0	0	429	0	0	0	0	0	66	0	0	0	17	0	0	0	277	0	0	0	0	51	0	0	0	35	0	0	63	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0
ASV_00117	7	0	0	109	57	11	30	0	0	0	88	44	0	252	0	22	162	19	0	0	0	16	0	0	0	0	34	12	0	0	134	0	0	58	54	0	270	0	68	0	0	89	19	0	0	0	0	0	0	0	0	0
ASV_00118	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	13	18	0	0	0	3	0	258	0	0	380	0	149	0	0	196	0	0	0	330	0	0	0	0	110	0	0
ASV_00119	0	1162	96	0	0	45	0	0	0	0	0	51	0	0	22	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	54	0	0	0	0	0	0	0	0	0
ASV_00120	0	93	8	0	0	24	0	0	0	544	23	62	0	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	705	0	0
ASV_00121	0	0	125	98	187	27	100	0	0	0	34	0	0	0	0	0	95	0	0	0	20	0	0	0	0	0	0	0	0	0	0	117	0	111	0	0	0	0	0	0	0	557	37	0	0	0	0	0	0	0	0	0
